school_name,school_code
GOVT [SW] GIRLS HOSTEL - PALAMANER [SPL],1109-2402-002
"GOVT. B.C.GIRLS HOSTEL,SEELAMVARIPALLI",0708-2503-003
"APTWRS(B),RARMAKUPPAM",28236301202
"GOVT BC BOYS HOSTEL, PEAPULLY",0907-2503-004
GOVT [SW] BOYS HOSTEL - SANTHAVELLORE,1113-2402-007
K.G.B.V.SCHOOL KAVALI,28190501036
SW BOYS HOSTEL YERUKALACHERUVU,0907-2402-006
"BC GIRLS HOSTEL, AVANIGADDA",0502-2501-008
GOVT. B.C.BOYS HOSTEL-BESTAVARI PETA,0704-2503-002
GOVT BC BOYS HOSTEL MEEDIVEMULA,0901-2503-013
KGBV PARAMASAMUDRAM KUPPAMMANDAL,28236601305
GTW PM HOSTEL(GIRLS) TIRUPATHI,1116-2403-005
SC COLLEGE BOYS HOSTEL KALYANDURG,1008-2402-014
Govt SC College Boys Hostel No-2 Anantapur,1001-2402-018
GTW PM HOSTEL(BOYS) G.L.PURAM,2207-2403-042
"GOVT. B.C. BOYS HOSTEL NO. 1, M.M. PURAM",0812-2503-005
"GOVT. B.C. GIRLS HOSTEL, SULLURPET",0808-2503-004
SW COLLEGE GIRLS HOSTEL NO.1 NANDYALA,0912-2402-013
SW COLLEGE GIRLS HOSTEL JANGAREDDIGUDEM,0407-2402-026
"GOVT.INTEGRATED WELFARE BOYS HOSTEL COMPLEX, CHITVEl",1210-2402-005
"SW IWHC FOR GIRLS, CHINTALAPUDI",0405-2402-004
"MJBCWREIS, Veldurthy",28212901039
"SWGH.NO.2,  NAIDUPETA",0813-2402-010
"SWGH, RAPURU",0814-2402-011
"Govt. SW Boys Hostel,Bukkarasamudram",1001-2402-007
"MJBCWREIS, Yerragondapalem",28180101766
GOVT [BC] COLLEGE GIRLS HOSTEL -  PALAMANER,1109-2503-004
GOVT.B.C.BOYS HOSTEL NO-2 ELURU,0401-2503-009
KGBV GUMMAGATTA,28221901107
GOVT [SW] BOYS HOSTEL - BAIREDDIPALLE,1109-2402-006
"GOVT B.C BOYS HOSTEL,ATTIVARAM",0803-2503-022
SW COLLEGE BOYS HOSTEL ATMAKUR,0804-2402-018
KGBV SETTUR,28222100112
SW GIRLS HOSTEL KODUMUR,0908-2402-005
GOVT B.C GIRLS HOSTEL II ANANTHAPURAMU,1001-2503-004
KGBV LAKSHMIPURAM KALLUR,28211800465
"GOVT SW GIRLS HOSTEL, CHIMAKURTHY",0701-2402-018
"Govt. SW Girls Hostel No.1, Kalyandurg",1008-2402-009
APRS GYARAMPALLI.,28230902108
KGBV PAGIDYALA,28210900914
APRS CHITTOOR,28235400409
GOVT.SW COLLEGE BOYS HOSTEL KUPPAM,1105-2402-007
"Govt. SW Boys Hostel No.4, Anantapur",1001-2402-004
KGBV PULLAMPET,28204500619
GOVT [BC] BOYS HOSTEL -  SATHYAVEDU,1113-2503-001
GOVT B.C.COLLEGE BOYS HOSTEL  CHILAKALURIPET,0603-2503-004
"GTW INTEGRATED WELFARE HOSTELS COMPLEX(GIRLS), BAPATLA",0602-2403-006
"GOVERNMENT SW BOYS HOSTEL, KAMBALAPADU",0907-2402-005
"APTWRS(G),BAIRLUTY",28211101203
"SW BOYS HOSTEL, BUTTAIGUDEM",0407-2402-002
"GOVT. B.C. COLLEGE GIRLS HOSTEL, ATMAKUR",0804-2503-001
"MJBCWREIS, Ithepally",28232802005
"APTWRS(B),RENIGUNTA",28231201902
GOVT B.C GIRLS HOSTEL KADIRI,1007-2503-018
GOVT [SW] BOYS HOSTEL - K.V.PALLE,1110-2402-010
"GOVT.S.W.GIRLS HOSTEL, B.MATTAM",1214-2402-006
KGBV GANGAVARAM,28235901420
INTEGRATED WELFARE HOSTEL COMPLEX FOR BOYS GUDUR,0908-2402-001
GOVT [SW] GIRLS HOSTEL NO.2 - SRIKALAHASTI,1114-2402-003
GOVT [BC] BOYS HOSTEL -  ROMPICHERLA,1110-2503-002
"SW BOYS HOSTEL, KANNAPURAM",0407-2402-021
Govt.B.C.Boys Hostel Butchayyapeta,0210-2501-004
KGBV SIVANAGAR DMM,28223790296
"Govt. SW Boys Hostel No.1, Kambadur",1009-2402-001
KGBV AMADAGUR,28224500617
"Govt. SW Boys Hostel, Chukkaluru",1016-2402-006
"SW Integrated Welfare Hostel Complex, Pathikonda",0913-2402-001
Govt.B.C.College Girls Hostel Visakhapatnam (SOUTH),0201-2501-016
SOCIAL WELFARE GIRLS HOSTEL-I REPALLE,0614-2402-004
"SWBH.NO.1, NELLORE",0801-2402-003
GTW PM COLLEGE HOSTEL(GIRLS) GUDUR,0803-2403-014
SW GIRLS HOSTEL GUDUR,0908-2402-004
S.W.COLLEGE BOYS HOSTEL- II HEYER HALL COMPOUND,0601-2402-028
APRS VENKATAGIRI,28193504210
"SWGH.NO.2, KOVUR",0806-2402-034
MJPAPBCWRGudur,28193201409
KGBV MUDIGUBBA ST,28223801523
"APTWRS(B),PILERU",28233101183
"GOVT SW COLLEGE GIRLS HOSTEL-II, ONGOLE",0701-2402-048
GOVT [BC] COLLEGE GIRLS HOSTEL - PUTHALAPATTU,1101-2503-010
GOVT. SW COLLEGE GIRLS HOSTEL KUPPAM,1105-2402-008
"MJBCWREIS, Kota",28193901220
SW COLLEGE BOYS HOSTEL MADHURAWADA,0201-2402-026
APRS CHELAMANCHENU,28193702205
PMS COLLEGE HOSTEL(GIRLS)-1 KAKINADA,0301-2403-003
"GOVT. B.C. COLLEGE GIRLS HOSTEL, TENALI",0616-2503-005
KGBV BOMMANAHAL,28220200506
MJBCWREIS Kanigiri,28187100303
GOVT SW BOYS HOSTEL TARLUPADU,0709-2402-008
"Govt. SW Girls Hostel No.2, Anantapur",1001-2402-006
APRS VAYALPADU,28233301426
"Govt SW Boys Hostel, Settur",1008-2402-011
"APTWRS(G),RAYACHOTI",28204991610
GTW HOSTEL(GIRLS) GUNTUR,0601-2403-004
GOVT COLLEGE BOYS HOSTEL (BC) - AMADALAVALASA,0102-2503-006
KGBV GEN TADIPATRI,28220902812
GOVT SW COLLEGE HOSTEL FOR GIRLS NO. 1 TIRUPATHI,1116-2402-013
"GOVT.B.C.COLLEGE BOYS HOSTEL ,NARASARAOPET",0610-2503-006
"Govt SW Girls Hostel, Amarapuram",1012-2402-007
"GOVT. SW ANANDANILAYAM (GIRLS), KURNOOL",0901-2402-015
"Govt. SW Girls Hostel, Rayadurg",1014-2402-004
KGBV M M DAM,28121601207
GTW PM HOSTEL(GIRLS) G.L.PURAM,2207-2403-041
KGBV KALYANDURG,28222301034
"MJBCWREIS, Satyaveedu(Fishermem)",28231802003
KGBV VIDAPANAKA,28220300807
"GOVT SW BOYS HOSTEL, PEDDAPADU",0901-2402-011
"SW Girls IWHC, PITHAPURAM",0309-2402-009
"SWBH.NO.3, KAVALI",0805-2402-003
APRS KALVABUGGA,28211701707
"GOVT.S.W.BOYS HOSTEL NO.1, JAMMALAMADUGU",1204-2402-002
GOVT [BC] BOYS HOSTEL -  B.N.KANDRIGA,1117-2503-001
Govt. Residential School and Junior College for Hearing Handicapped,28175701708
"MJBCWREIS,Gundumala(B), Ananthapuramu",28225900925
"MJBCWREIS, Tadepalligudem",28151800606
GOVT B.C GIRLS HOSTEL NUTHIMADUGU,1008-2503-009
"SWGH.NO.1, MANUBOLU",0803-2402-021
"GOVT SW  BOYS HOSTEL-I, DONAKONDA",0705-2402-005
"GOVT SW COLLEGE BOYS HOSTEL, KANDUKUR",0707-2402-020
"MJBCWREIS, Annavaram",28132701304
GTW ASHRAM SCHOOL(GIRLS) KOTTALACHERUVU,0905-2403-001
"GOVT. B.C. GIRLS HOSTEL, PODALAKUR",0812-2503-008
KGBV TALLURU,28181500516
KGBV NATHAVARAM,28131601211
KGBV PORUMAMILLA,28201001239
SW COLLEGE  BOYS  HOSTEL NO1 Marripalem Madhurawada,0201-2402-023
"GOVT.SW COLLEGE GIRLS HOSTEL, PUTHALAPATTU",1101-2402-044
KGBV GUDIBANDA,28226000617
APRS BANAVASI,28212101705
"GOVT.B.C.BOYS HOSTEL,GUDUR",0803-2503-008
"APTWRJC(G),BHADRAGIRI",28120207612
"S.W.R GDC,KALIKIRI",gdc_kalikiri
SW GIRLS HOSTEL ORVAKAL,0901-2402-007
"APTWRS(G),RAPUR",28192303148
"SWGH, CHITTEDU",0816-2402-020
"APTWRS(B),SRISAILAM",28211290809
KGBV  PAMULAPADU,28211400712
GOVT SW BOYS HOSTEL NO-3 KALYANADURG ,1008-2402-003
"SWGH, DACHURU AT PODALAKUR",0812-2402-018
"SWBH.NO.1, NAIDUPETA",0813-2402-004
"MJBCWREIS, Roddam",28225301128
KGBV VAGALLA,28230900913
"APTWRS(B),T.SUNDUPALLI",28204600252
KGBV ATCHAMPET,28170700812
"APTWRS(G),TENALI",28173291122
GOVT SW COLLEGE BOYS HOSTEL -II ONGOLE,0701-2402-047
APRS KURNOOL (G),28211800471
SOCIAL WELFARE GIRLS HOSTEL PRATHIPADU,0601-2402-008
"Govt SW Boys Hostel, Bramhasamudram",1008-2402-012
GOVT SW HOSTEL RS PENDEKAL,0913-2402-007
KGBV RAJAPURAM,28220600904
"GOVT.B.C.BOYS HOSTEL, CHITTAMURU",0816-2503-002
"GOVT SW BOYS HOSTEL-I, GIDDALUR",0706-2402-003
APRS MUSUNURU,28162501010
GOVT [SW] BOYS HOSTEL NO.3 - MADANAPALLE [SPL],1106-2402-009
GOVT B.C COLLEGE BOYS HOSTEL KALYANDURG,1008-2503-007
KGBV HOLAGUNDA,28212401008
"APTWRS(B),KODAVALURU",28191701114
"BC COLLEGE BOYS HOSTEL, GUDLAVALLERU",0506-2503-003
GOVT B.C BOYS HOSTEL KANAGANPALLI,1003-2503-005
"APTWRS(B),SRIKALAHASTHI",28231491120
GOVT B.C BOYS HOSTEL KANEKAL,1010-2503-002
APRS CHILALURIPETA,28174590252
APRS PATHIKONDA,28215100728
SWR GOVT. DEGREE COLLEGE (G) KANCHIKACHERLA,swrgdc_kanchi
"APTWRS(B),B.K.SAMUDRAM",28222601040
"SW GIRLS HOSTEL, KOYYALAGUDEM",0407-2402-008
"MJPBCWREIS, Thamballapalli",28230200825
GTW ASHRAM SCHOOL(BOYS) ALEBAD THANDA,0907-2403-001
SW GIRLS HOSTEL PAMULAPADU,0905-2402-007
"Govt. SW Boys Hostel,  Konakondla",1005-2402-004
"BC COLLEGE GIRLS  HOSTEL, GUDIVADA",0506-2503-001
KGBV RAMAKUPPAM,28236302205
GTW ASHRAM SCHOOL(BOYS) A.KONDURU,0514-2403-001
GTW ASHRAM SCHOOL(BOYS) PARVATHIPURAM,2209-2403-014
"GOVT BC BOYS HOSTEL LADDAGIRI NO.II, KURNOOL",0908-2503-005
KGBV BATHALAPALLE,28223100417
KGBV CHIRALA,28182390292
GOVT [BC] COLLEGE BOYS HOSTEL - PALAMANER,1109-2503-005
"SW GIRLS HOSTEL, KAMAVARAPUKOTA",0405-2402-013
APRS ANANTAPUR,28222591338
"APTWRS(B),YERRAGONDAPALEM",28180101763
APRS SANTHANUTALAPAD,28184300713
GTW ASHRAM SCHOOL(GIRLS) THANDAVA,0206-2403-045
KGBV  ORVAKAL,28211701111
"GOVT SW COLLEGE BOYS HOSTEL ,C K DINNE",1201-2402-028
KGBV KHAJIPET,28201300733
APRJC  NAGARJUNA SAGAR,28170100225
KGBV  TANAKAL,28224100329
GOVT [SW] BOYS HOSTEL - VARADAIAHPALEM [SPL],1113-2402-008
"GOVT.B.C.COLLEGE GIRLS HOSTEL,RAYACHOTY",1212-2503-007
GTW ASHRAM SCHOOL(GIRLS) KUKUNURU,0416-2403-003
GTW ASHRAM SCHOOL(BOYS) SEEKARI,0213-2403-030
SW GIRLS HOSTEL ALUR,0904-2402-003
KGBV  TALUPULA,28223900526
"GOVT SW COLLEGE BOYS HOSTEL, K.NAGAR",1112-2402-021
KGBV KRISHNAGIRI,28212800505
"APTWURJC(B),GOLLALADODDI",28220601103
GTW ASHRAM SCHOOL(GIRLS) GOLAGAMUDI,0801-0308-009
"INTEGRATED WELFARE HOSTEL COMPLEX, RAJAHMUNDRY",0312-2503-003
"GOVT SW BOYS HOSTEL, MADDIPADU",0701-2402-019
"APTWRS(G),ALURU",28212501425
APRS KODIGENHALLI,28225801413
"Govt.B.C.Boys Hostel, Golugonda",0212-2501-005
KGBV VELGODE,28211300533
"APTWRS(B),GUDURUatCHENNURU",28193290191
"GOVT.S.W.BOYS HOSTEL NO.2, PULIVENDULA",1209-2402-009
"APTWRS(G),KURNOOL",28211890570
GOVT SW COLLEGE GIRLS HOSTEL PRODDATURU,1208-2402-019
"EMRS(CO-EDU),PADERU",28131210114
KGBV TADA,28194601605
SW BOYS HOSTEL GARGEYAPURAM,0901-2402-006
MJPAPBCWR Kuppam(B),28236690461
KGBVS VARIKUNTLA,28205102809
MJBCWREIS Narsapuram @ Narpala,28221101406
SWBH 1 RAMACHANDRAPURAM,0313-2402-002
"Govt. SW Girls Hostel, Tadipatri",1016-2402-004
"APTWURJC(G),SRIKALAHASTHI",28231491164
A.P MODEL SCHOOL NANDAVARAM,28210401611
GOVT SW GIRLS HOSTEL TRIPURANTHAKAM,0713-2402-009
KGBV ULAVAPADU,28185500427
KGBV GUDUR,28210600629
"MJPAPBCWR School (boys), KARADA, BOBBILI, VZM",28121000903
"SWBH, REVURU",0804-2402-014
GOVT SW IWHC (BOYS )GAMPALAGUDEM,0514-2402-004
"APTWRS(G),VISSANNAPETA",28161400933
"IWBHC, RAPUR",0814-2402-029
APRS GUNTUR (G),28172691394
"MJBCWREIS, Regatapalli",28223700809
"APBCWRS ,PERURU",28223500114
"APTWRS(B),BHADRAGIRI",28120207506
APRDC  NAGARJUNA SAGAR,52
APRS GOOTY,28220690323
GOVT SW COLLEGE BOYS HOSTEL JAMMALAMADUGU,1204-2402-010
SW COLLEGE GIRLS HOSTEL NO.2 ADONI,0902-2402-010
GOVT [SW] BOYS HOSTEL - PALAMANGALAM [SPL],1112-2402-013
GOVT [SW] BOYS HOSTEL NO.1 - PALAMANER [SPL],1109-2402-003
"GOVT SW COLLEGE GIRLS HOSTEL, CUMBUM",0704-2402-013
KGBV KAMBADUR,28223400919
"EMRS(CO-EDU),KODAVALURU",28191701107
"BC COLLEGE BOYS HOSTEL, BANTUMILLI",0504-2503-001
APRS NIMMAKURU,28163902606
"Govt. SW Girls Hostel, Pathikonda",0913-2402-003
Govt SC College Girls Hostel No.4 Anantapur,1001-2402-022
GOVT [SW] BOYS IWHC - TIRUPATI  [SPL],1116-2402-009
PMS COLLEGE HOSTEL(GIRLS) DIVILI,0308-2403-001
"GOVT BC PREMATRIC BOYS HOSTEL, KAMBALAPADU",0907-2503-008
GOVT BOYS HOSTEL (BC) - M.S.R PURAM,0107-2503-006
"SW BOYS HOSTEL, BHIMADOLE",0404-2402-001
"SWGH. No.1, NELLORE",0801-2402-012
"GOVT. B.C. GIRLS HOSTEL, SARASWATHIPURAM",1213-2503-009
SW GIRLS HOSTEL BESTHAVARIPETA,07062402004_1
"APBCWRS ,TEKLODU",28225501305
KGBV KALIGIRI,28190700622
"MJPAPBCWR School& Jr.College(G), Dhone",28217100353
"APBCWRS ,GOLAGAMUDI",28193000910
SWGH. YEKOLLU AT D.V.SATRAM,0808-2402-014
APRJC  KODIGENAHALLI,28225801420
GOVT. B. C GIRLS (IWHC) RAJAMPETA,1211-2503-010
SW GIRLS COLLEGE HOSTEL NO 2 ELURU,0401-2402-017
GTW ASHRAM SCHOOL(BOYS) CHINTHAPALLI-2,0206-2403-033
GOVT BC BOYS HOSTEL KOTHAPALLI KURNOOL,0905-2503-002
"Govt. SW Girls Hostel No.1, Anantapur",1001-2402-005
KGBV KODUMUR,28211900338
"MJBCWREIS, Gorantla",28211900906
GTW ASHRAM SCHOOL(BOYS) ALUR,0904-2403-002
MJPAPBCWR PITHAPURAM(G),28347101366
"GOVT B.C GIRLS HOSTEL,GUDUR",0803-2503-010
SW COLLEGE BOYS HOSTEL JANGAREDDIGUDEM,0407-2402-027
"SW COLLEGE GIRLS HOSTEL-2, REPALLE",0614-2402-013
"SWGH.NO.1, NAIDUPETA",0813-2402-011
"EMRS(CO-EDU),KURUPAM",28120305828
SW COLLEGE  BOYS  HOSTEL NO3 Chinagadili,0201-2402-024
KGBV  C.BELAGAL BC COLONY,28210500913
"MJBCWREIS, Pennahobilum  @ Konakondla",28221591134
GOVT [SW] BOYS HOSTEL - GYARAMPALLE,1110-2402-003
KGBV  RACHARLA,28183501019
KGBV VENKATAGIRI,28193590532
KGBV PEDDAPAPPUR,28221001307
"APTWRS(B),CHIMAKURTHY",28182901249
"Govt. SW Boys Hostel, Chennekothapalli",1003-2402-005
GOVT [SW] BOYS HOSTEL - NAGALAPURAM,1113-2402-003
GOVT.SW COLLEGE GIRLS HOSTEL MADANAPALLE,1106-2402-012
"Govt SW Girls Hostel, CK Palli",1003-2402-006
"GOVT. SW BOYS HOSTLE, C-BELAGAL",0908-2402-003
"EMRS(CO-EDU),OJILI",28193703508
KGBVTERLAM,28121502410
GOVT [BC] COLLEGE GIRLS HOSTEL - SRIKALAHASTI,1114-2503-004
"APBCWRS ,LEPAKSHI",28225600316
AP MODEL SCHOOL OWK,28214701025
"SWBH, SULLURPET",0808-2402-009
"MJPAPBCWR School& Jr.College(B), Bhethamcherla",28217100352
"Govt.SW College Boys Hostel, Bobbili",2203-2402-009
SW BOYS HOSTEL NO.I ADONI,0902-2402-002
"GOVT. B.C.BOYS HOSTEL,II - PAMUR",0708-2503-004
GTW PM HOSTEL(BOYS) TIRUPATHI,1116-2403-004
"GOVT SW BOYS HOSTEL-II, DARSI",0705-2402-002
"APTWRS(G),BUTTAYYAGUDEM",28150203103
GTW ASHRAM SCHOOL(BOYS) TALARISINGI PADERU,0213-2403-006
KGBV DORAVARISATRAM,28194401713
"BC COLLEGE BOYS HOSTEL, MACHILIPATNAM",0501-2503-003
KGBV SANTHAKAVITY,28111001804
"APTWRS(B),PULIVENDULA",28202001494
"APR SCHOOL(G), TUNI",28140601612
"MJBCWREIS,Gudibanda Ananthapuramu",28226000622
"GOVT.S.W.BOYS HOSTEL NO.3, PULIVENDULA",1209-2402-005
KGBV AMARAPURAM,28226100321
GOVT B.C GIRLS HOSTEL MADAKASIRA,1012-2503-001
GOVT [SW] GIRLS HOSTEL NO.1 - SRIKALAHASTI [SPL],1114-2402-002
A.P MODEL SCHOOL B.ATMAKUR,28213300825
MJBCWREIS Gopalapuram,28150501529
"APBCWRS ,NASANNAKOTA",28223500513
GOVT [BC] BOYS HOSTEL -  PUNGANUR,1111-2503-001
"SW BOYS HOSTEL, SINGAGUDEM",0405-2402-010
"S.W.G.H., KASTURIBAIPETA, VIJAYAWADA",0516-2402-011
"SWBH.NO.3, VENKATAGIRI",0810-2402-004
MJPAPBCWRS GIRLS KALIKIRI,28233201228
KGBVMINORITY ADONI,28212391337
KGBV D.HIREHAL,28220100410
GOVT [SW] BOYS HOSTEL - CHOWDEPALLE [SPL],1111-2402-006
"Govt. SW Boys Hostel No.1, Gooty",1004-2402-001
GOVT [SW] BOYS HOSTEL - KOLAMASANAPALLE,1109-2402-007
APRS MYLAVARAM,28200202406
"GOVT.S.W.I.W.H.C.(B), NUZVIDU",0512-2402-003
SW BOYS HOSTEL KUCHIMPUDI,0401-2402-014
KGBV  N P IKUNTA,28224000412
GTW ASHRAM SCHOOL(BOYS) PEDAVALASA,0206-2403-023
"APTWRS(G),KOTA",28193901242
KGBV OBULADEVARACHERUVU,28224600415
APRS APPALARAJUGUDEM,28150800404
"GOVT.S.W.BOYS HOSTEL, IWHC, B. MATTAM, MYDUKUR",1214-2402-018
"GOVT.S.W.GIRLS HOSTEL NO.1, PRODDATUR",1208-2402-016
